Date,symbol,open,high,low,close,volume,per_of_change,ema_3,ema_9,ema_50,ema_200,Gain,Loss,AvgGain,AvgLoss,RS,RSI,RSI_Highest_High,RSI_Lowest_Low,14_Day_Stoch_RSI,RSI_K_Line,RSI_D_Line,EMA9_EMA50_EMA200,Purchase_Sell,buy_sell_condition,Open_Position,Running_PnL,Strategy_Return,Buy_Hold_Return
2019-01-22,BABA,154.39999389648438,155.44000244140625,150.20700073242188,152.14999389648438,21295000,0.0,,,,,0.0,0.0,,,,,,,,,,False,0.0,,0,0.0,7.95,-4.85
2019-01-23,BABA,154.64999389648438,155.17999267578125,150.9499969482422,152.02999877929688,10195800,-0.079,,,,,0.0,0.1199951171875,,,,,,,,,,False,0.0,,0,0.0,,
2019-01-24,BABA,151.47000122070312,156.0,151.2100067138672,155.86000061035156,10997900,2.519,153.9749984741211,,,,3.8300018310546875,0.0,,,,,,,,,,False,0.0,,0,0.0,,
2019-01-25,BABA,158.91000366210938,160.5,157.42999267578125,159.2100067138672,16451800,2.149,156.59250259399414,,,,3.350006103515625,0.0,,,,,,,,,,False,0.0,,0,0.0,,
2019-01-28,BABA,157.8000030517578,159.69000244140625,155.3000030517578,158.9199981689453,10141100,-0.182,157.75625038146973,,,,0.0,0.290008544921875,,,,,,,,,,False,0.0,,0,0.0,,
2019-01-29,BABA,159.0399932861328,160.375,155.9199981689453,156.8800048828125,18348200,-1.284,157.3181276321411,,,,0.0,2.0399932861328125,,,,,,,,,,False,0.0,,0,0.0,,
2019-01-30,BABA,161.2899932861328,167.83999633789062,160.5,166.82000732421875,36997700,6.336,162.06906747817993,,,,9.94000244140625,0.0,,,,,,,,,,False,0.0,,0,0.0,,
2019-01-31,BABA,167.8000030517578,169.72999572753906,165.6999969482422,168.49000549316406,21219500,1.001,165.279536485672,,,,1.6699981689453125,0.0,,,,,,,,,,False,0.0,,0,0.0,,
2019-02-01,BABA,168.0,169.39999389648438,167.6300048828125,167.97000122070312,10771500,-0.309,166.62476885318756,161.49727405054688,,,0.0,0.5200042724609375,,,,,,,,,,False,0.0,,0,0.0,,
2019-02-04,BABA,166.32000732421875,167.5500030517578,165.61000061035156,166.6999969482422,7380400,-0.756,166.66238290071487,162.53781863008595,,,0.0,1.2700042724609375,,,,,,,,,,False,0.0,,0,0.0,,
2019-02-05,BABA,168.5500030517578,171.9499969482422,168.0,171.8300018310547,12801800,3.077,169.24619236588478,164.3962552702797,,,5.1300048828125,0.0,,,,,,,,,,False,0.0,,0,0.0,,
2019-02-06,BABA,171.86000061035156,173.08999633789062,169.99000549316406,171.52000427246094,11267800,-0.18,170.38309831917286,165.82100507071596,,,0.0,0.30999755859375,,,,,,,,,,False,0.0,,0,0.0,,
2019-02-07,BABA,169.16000366210938,169.61000061035156,164.33599853515625,166.9600067138672,11911100,-2.659,168.67155251652002,166.04880539934624,,,0.0,4.55999755859375,,,,,,,,,,False,0.0,,0,0.0,,
2019-02-08,BABA,163.8300018310547,167.64999389648438,163.75,167.36000061035156,8331500,0.24,168.0157765634358,166.3110444415473,,,0.399993896484375,0.0,1.7371433803013392,0.6507143293108258,2.669594478027178,72.74903246154837,,,,,,False,0.0,,0,0.0,,
2019-02-11,BABA,168.85000610351562,170.3300018310547,167.4499969482422,167.4499969482422,7260300,0.054,167.732886755839,166.53883494288627,,,0.089996337890625,0.0,1.7435716901506697,0.6507143293108258,2.6794733289449666,72.82219734728353,,,,,,False,0.0,,0,0.0,,
2019-02-12,BABA,169.60000610351562,170.49000549316406,168.61000061035156,168.7100067138672,8594400,0.752,168.2214467348531,166.97306929708247,,,1.260009765625,0.0,1.8335723876953125,0.6421432495117188,2.855394632100467,74.06231798753147,,,,,,False,0.0,,0,0.0,,
2019-02-13,BABA,169.91000366210938,171.0500030517578,168.99000549316406,169.39999389648438,8661800,0.409,168.81072031566873,167.45845421696285,,,0.6899871826171875,0.0,1.609285627092634,0.6421432495117188,2.506116241689566,71.47841283442135,,,,,,False,0.0,,0,0.0,,
2019-02-14,BABA,167.63999938964844,168.5,166.61000061035156,168.3800048828125,8722100,-0.602,168.59536259924062,167.64276435013278,,,0.0,1.019989013671875,1.3699994768415178,0.7149996076311383,1.9160842358787529,65.70743781348095,,,,,,False,0.0,,0,0.0,,
2019-02-15,BABA,168.61000061035156,168.77000427246094,165.41000366210938,166.14999389648438,12099500,-1.324,167.3726782478625,167.3442102594031,,,0.0,2.230010986328125,1.3699994768415178,0.8535712105887276,1.6050207174824906,61.61258936295883,,,,,,False,0.0,,0,0.0,,
2019-02-19,BABA,166.97999572753906,171.14999389648438,166.5,170.17999267578125,12982300,2.426,168.77633546182187,167.91136674267875,,,4.029998779296875,0.0,1.6578565325055803,0.7078574044363839,2.34207698063936,70.07848694709918,,,,,,False,0.0,,0,0.0,,
2019-02-20,BABA,171.0,172.67999267578125,170.61000061035156,170.7100067138672,12454900,0.311,169.74317108784453,168.47109473691643,,,0.5300140380859375,0.0,0.9857145036969867,0.7078574044363839,1.3925325885117221,58.20328614114923,,,,,,False,0.0,,0,0.0,,
2019-02-21,BABA,171.0,171.77999877929688,169.8000030517578,171.66000366210938,8434800,0.556,170.70158737497695,169.108876521955,,,0.9499969482421875,0.0,0.9342858450753349,0.7078574044363839,1.3198786072164346,56.89429624079014,,,,,,False,0.0,,0,0.0,,
2019-02-22,BABA,172.8000030517578,177.02000427246094,172.52000427246094,176.9199981689453,16175600,3.064,173.81079277196113,170.6711008513531,,,5.2599945068359375,0.0,1.309999738420759,0.6707142421177456,1.9531413769961146,66.13775392571341,,,,,,False,0.0,,0,0.0,,
2019-02-25,BABA,181.25999450683594,183.72000122070312,180.72999572753906,183.25,22831800,3.578,178.53039638598057,173.18688068108247,,,6.3300018310546875,0.0,1.7621427263532365,0.5799996512276786,3.0381789413551012,75.23636236723013,,,,,,False,0.0,,0,0.0,,
2019-02-26,BABA,179.7899932861328,184.35000610351562,179.3699951171875,183.5399932861328,13871000,0.158,181.0351948360567,175.25750320209255,,,0.2899932861328125,0.0,1.4164276123046875,0.5799996512276786,2.4421180414618378,70.94812008320004,,,,,,False,0.0,,0,0.0,,
2019-02-27,BABA,181.72000122070312,184.92999267578125,180.8800048828125,184.5800018310547,16741600,0.567,182.8075983335557,177.12200292788498,,,1.040008544921875,0.0,1.4907139369419642,0.5578569684709821,2.6722153189693576,72.76848133511245,,,,,,False,0.0,,0,0.0,,
